Lifecycle;Kurzname;ALM-ID;Name;Kurzbeschreibung;ADM Org. Einheit;Applikationsverantwortlicher (ADM);Letzte Žnderung
Ausser Produktion;Abgeschaltet_GKP;ICTO-845;Gesch„ftskundenportal;Zentrales Portal fr Gesch„ftskunden von DHL Paket fr die Funktionen Versenden, Abholen, Retoure, Verfolgen und Self-Service;Abt 1230, ADM Business Kunden Paket (00057834);Henkel,T.,SNL IT P&P,Abt 1230,BN;17.08.2022
In Produktion;Agheera Portal;PRF-3331;Agheera Portal;Anzeige von GPS-Infos zu beauftragten Abholungen des Kunden auf einer Karte.;Abt 2420, ADM Transport (00057848);Span,S.,SNL IT P&P,Abt 2420,BN;17.08.2022
In Produktion;Bonus-BE;ICTO-1021;Bonus-Backend;Management Punktekatalog, Punkte-Bewertung und Punktekonten fr das DHL-Bonusprogramm;Abt 1110, ADM Endkunden Paket (00057829);Wittstamm,M.,SNL IT P&P,Abt 1110,BN;25.08.2022
In Produktion;B_Sc;APP-2700;Bonus_Servicecenter;- zu erg„nzen -;Abt 1110, ADM Endkunden Paket (00057829);Wittstamm,M.,SNL IT P&P,Abt 1110,BN;17.08.2022
In Produktion;B_Service;APP-2699;Bonus_Service;- zu erg„nzen -;Abt 1110, ADM Endkunden Paket (00057829);Wittstamm,M.,SNL IT P&P,Abt 1110,BN;17.08.2022
In Produktion;CIAM;ICTO-2041;Customer Identity and Access Management;"Management von Online-Kunden-Accounts (Accounts; Login-Daten)";Abt 1110, ADM Endkunden Paket (00057829);Weber,Dr.,J.,SNL IT P&P,Abt 1110,BN;17.08.2022
In Produktion;CPSF;ICTO-1789;Common Parcelshop Finder;Search and provisioning of Parcelshop and Packstation master data to consumers and business customers;Abt 192, IT Architektur (00057785);;17.08.2022
Ausser Produktion;Standortsuche_EU;ITR-4289;Standortsuche_EU;Standortsuche_EU - Search of DHL Parcelshops and parcel lockers in EU and Germany;Abt 19A5, Kundenintegrationsservices (00057793);;17.08.2022
In Produktion;DHL OF;ICTO-1809;DHL Onlinefrankierung;Erstellung und Verkauf und Druck von Paketlabeln via Internet;Abt 1110, ADM Endkunden Paket (00057829);Heimann,R.,SNL IT P&P,Abt 1110,BN;05.09.2022
In Produktion;Privatkundenversand;ITR-4248;Privatkundenversand;Online purchase of labels for small and average-sized parcels.;Abt 1110, ADM Endkunden Paket (00057829);;17.08.2022
Ausser Produktion;DP mobil;ICTO-893;Deutsche Post Mobil;"Enth„lt Applikationen (""Apps"") zur Kundeninformation fr mobile Endger„te mit ihrem Backend EMMI; Sendungs-verfolgung, Standortsuche sowie Portoinformation & -kauf";Abt 1130, ADM Online, Sales & Frank.Post (00057831);Lang, Thomas, RentS ITO, Bn;17.08.2022
Ausser Produktion;Android DP mobil;APP-2169;Deutsche Post mobil (Android);- zu erg„nzen -;Abt 1130, ADM Online, Sales & Frank.Post (00057831);;17.08.2022
Ausser Produktion;EMMI;APP-4583;Deutsche Post mobil EMMI Backend;- zu erg„nzen -;Abt 1130, ADM Online, Sales & Frank.Post (00057831);;17.08.2022
Ausser Produktion;iPhone DP mobil;APP-2171;Deutsche Post Mobil (Apple);- zu erg„nzen -;Abt 1130, ADM Online, Sales & Frank.Post (00057831);;17.08.2022
Geplant;DiCoS;ITR-4195;Digital Commerce Services;Das IT-System Digital Commerce Services vereint s„mtliche Backend-, Frontend-, und Intergrations-Services, die fr eine moderne Verkaufsplattform fr den P&P Bereich erforderlich sind.;Abt 1130, ADM Online, Sales & Frank.Post (00057831);Alich, O., SNL IT P&P, 1130, BN;08.09.2022
In Produktion;ELAINE;ITR-3750;EMail Service Provider/ELAINE;Artegic bietet mit ELAINE eine Standardsoftware fr Realtime Marketing Automation mit E-Mail und Mobile. Dies umfasst sowohl transaktionale E-Mails (z.B. Paketankndigung) als auch Marketing Automation Mails (z.B. Newsletter),.;Abt 1110, ADM Endkunden Paket (00057829);Khn,W.,SNL IT P&P,Abt 1110,BN;25.08.2022
In Produktion;EMS;ICTO-2028;Empf„ngerservice;Identifikation von Empf„ngern fr das Gesch„ftsfeld POST Deutschland;Abt 1120, ADM E-POST & Zusatzleitungen (00057830);Sparla,E.,SNL IT P&P,Abt 1120,BN;17.08.2022
In Produktion;ERKENNEN;ICTO-982;ERKENNEN;Zentraler Login auf DHL.de;Abt 1110, ADM Endkunden Paket (00057829);Weber,Dr.,J.,SNL IT P&P,Abt 1110,BN;17.08.2022
Ausser Produktion;App;APP-3290;DHL Paket App fr Android und iOS;- zu erg„nzen -;Abt 1110, ADM Endkunden Paket (00057829);Schmidt,K.,SNL IT P&P,Abt 1110,BN;17.08.2022
Ausser Produktion;EAuth;APP-5028;EAuth;- zu erg„nzen -;Abt 1110, ADM Endkunden Paket (00057829);Weber,Dr.,J.,SNL IT P&P,Abt 1110,BN;17.08.2022
Ausser Produktion;EMMI;APP-3288;Enterpise Middleware for mobile Integration (EMMI);- zu erg„nzen -;Abt 1110, ADM Endkunden Paket (00057829);Weber,Dr.,J.,SNL IT P&P,Abt 1110,BN;17.08.2022
Ausser Produktion;ERKENNEN-3807;APP-3807;DHL Paketkasten App fr iOS und Android;- zu erg„nzen -;Abt 1110, ADM Endkunden Paket (00057829);;17.08.2022
Ausser Produktion;ERKENNEN-4346;APP-4346;OAuth Web;- zu erg„nzen -;Abt 1110, ADM Endkunden Paket (00057829);Weber,Dr.,J.,SNL IT P&P,Abt 1110,BN;17.08.2022
Ausser Produktion;ERKENNEN-4347;APP-4347;OAuth Appserver;- zu erg„nzen -;Abt 1110, ADM Endkunden Paket (00057829);Schmidt,K.,SNL IT P&P,Abt 1110,BN;17.08.2022
Ausser Produktion;Funcard (neu);ICTO-1226;FUNCARD Mobile Apps;Erstellung und Versand Kunden-individualisierter Postkarten mittels Apps, z.B. iOS und Android;Abt 1130, ADM Online, Sales & Frank.Post (00057831);;17.08.2022
Ausser Produktion;FUNCARD App iOS;APP-3340;FUNCARD App fr iOS;- zu erg„nzen -;Abt 1130, ADM Online, Sales & Frank.Post (00057831);;17.08.2022
Ausser Produktion;Funcard App And;APP-3341;FUNCARD App fr Android;- zu erg„nzen -;Abt 1130, ADM Online, Sales & Frank.Post (00057831);;17.08.2022
In Produktion;GK Plattform;ICTO-2964;GK Plattform;Plattform fr GK-UIs (Widgets) wie z. B. GK Self Services, GK Registrierung, GK Stammdaten;Abt 1230, ADM Business Kunden Paket (00057834);Henkel,T.,SNL IT P&P,Abt 1230,BN;17.08.2022
